queryOption,approximateQuery,inputTopicName,radius,wInterval,wStep,uniformGridSize,executionCost1, executionCost2, executionCost3,avg_time_sec, numberRecords1, numberRecords2, numberRecords3avg_records, throughput
41,true,NYCBuildingsLineStrings,0.005,100,50,500,121105, 121015, 121010,121.04333333333332, 19131334, 19012133, 19602854,19248773.666666668, 159023.8234241181
32,true,NYCBuildingsLineStrings,0.005,100,50,200,121088, 121082, 121036,121.06866666666667, 21428199, 21417832, 21296542,21380857.666666668, 176601.08313188658
32,false,NYCBuildingsLineStrings,0.005,100,50,200,121046, 121107, 121102,121.085, 21434692, 21343455, 21312571,21363572.666666668, 176434.51019256448
32,true,NYCBuildingsLineStrings,0.0005,100,50,200,121034, 121090, 121099,121.07433333333333, 21531720, 21359712, 21717123,21536185.0, 177875.72648207852
32,true,NYCBuildingsLineStrings,0.005,100,50,200,121105, 121112, 121075,121.09733333333332, 21274430, 21203185, 21174452,21217355.666666668, 175209.10727458907
32,true,NYCBuildingsLineStrings,0.05,100,50,200,121024, 121108, 121090,121.074, 20715239, 20901313, 21005082,20873878.0, 172405.9500801163
32,true,NYCBuildingsLineStrings,0.5,100,50,200,121028, 121102, 121062,121.064, 17354899, 17301995, 17220917,17292603.666666668, 142838.52893235534
32,true,NYCBuildingsLineStrings,0.005,100,50,100,121095, 121075, 121101,121.09033333333333, 21328178, 21803221, 21609811,21580403.333333332, 178217.3914240333
32,true,NYCBuildingsLineStrings,0.005,100,50,200,121017, 121060, 121048,121.04166666666667, 21419492, 21387445, 21339904,21382280.333333332, 176652.22994836487
32,true,NYCBuildingsLineStrings,0.005,100,50,300,121050, 121097, 121046,121.06433333333332, 21314104, 21353381, 21175256,21280913.666666668, 175781.8597825399
32,true,NYCBuildingsLineStrings,0.005,100,50,400,120999, 121083, 121110,121.064, 21030559, 21059392, 21084192,21058047.666666668, 173941.44970153528
32,true,NYCBuildingsLineStrings,0.005,100,50,500,121014, 121106, 121045,121.055, 20934099, 21067712, 20910410,20970740.333333332, 173233.16123525117
37,true,NYCBuildingsLineStrings,0.005,100,50,200,121108, 121015, 121013,121.04533333333333, 21055040, 20989842, 20891252,20978711.333333332, 173312.84697744096
37,false,NYCBuildingsLineStrings,0.005,100,50,200,121114, 121054, 121059,121.07566666666668, 20959757, 20937448, 20847274,20914826.333333332, 172741.78131031006
37,true,NYCBuildingsLineStrings,0.0005,100,50,200,121075, 121047, 121003,121.04166666666667, 20310549, 21118671, 21052391,20827203.666666668, 172066.3986230637
37,true,NYCBuildingsLineStrings,0.005,100,50,200,121079, 121031, 121046,121.052, 21086395, 20809799, 20235668,20710620.666666668, 171088.628578352
37,true,NYCBuildingsLineStrings,0.05,100,50,200,121089, 121007, 121041,121.04566666666668, 19907185, 19731407, 19905949,19848180.333333332, 163972.66320975276
37,true,NYCBuildingsLineStrings,0.5,100,50,200,121088, 121039, 121036,121.05433333333333, 17242557, 15949265, 17350218,16847346.666666668, 139171.77686052822
37,true,NYCBuildingsLineStrings,0.005,100,50,100,121076, 121056, 121086,121.07266666666668, 21458270, 21237657, 21332478,21342801.666666668, 176280.92495415977
37,true,NYCBuildingsLineStrings,0.005,100,50,200,121073, 121022, 121057,121.05066666666667, 21079423, 21067961, 20980160,21042514.666666668, 173832.29061109398
37,true,NYCBuildingsLineStrings,0.005,100,50,300,121039, 121041, 121042,121.04066666666667, 20964325, 21078792, 20903329,20982148.666666668, 173347.9271429437
37,true,NYCBuildingsLineStrings,0.005,100,50,400,121024, 121029, 121021,121.02466666666668, 20846682, 20799574, 20934486,20860247.333333332, 172363.60080865055
37,true,NYCBuildingsLineStrings,0.005,100,50,500,121087, 121091, 121069,121.08233333333332, 20761226, 20720254, 20615498,20698992.666666668, 170949.733927603
42,true,NYCBuildingsLineStrings,0.005,100,50,200,121106, 121068, 121034,121.06933333333333, 20807686, 20979329, 21033130,20940048.333333332, 172959.14462236513
42,false,NYCBuildingsLineStrings,0.005,100,50,200,121056, 121084, 121088,121.076, 20716207, 20797056, 20946885,20820049.333333332, 171958.51641393284
42,true,NYCBuildingsLineStrings,0.0005,100,50,200,121092, 121048, 121075,121.07166666666667, 20897087, 20964130, 21346356,21069191.0, 174022.47429208594
42,true,NYCBuildingsLineStrings,0.005,100,50,200,121059, 121095, 121061,121.07166666666667, 20876775, 21001088, 20806723,20894862.0, 172582.591577991
42,true,NYCBuildingsLineStrings,0.05,100,50,200,121035, 121026, 121033,121.03133333333332, 19969321, 19956312, 19059553,19661728.666666668, 162451.55799875516
42,true,NYCBuildingsLineStrings,0.5,100,50,200,121016, 121052, 121052,121.04, 17204667, 17053230, 17084883,17114260.0, 141393.42366159946
42,true,NYCBuildingsLineStrings,0.005,100,50,100,121084, 121059, 121016,121.053, 20834868, 21263115, 21485779,21194587.333333332, 175085.1885813101
42,true,NYCBuildingsLineStrings,0.005,100,50,200,121105, 121015, 121053,121.05766666666668, 21176569, 21075316, 20850635,21034173.333333332, 173753.33518736248
42,true,NYCBuildingsLineStrings,0.005,100,50,300,121010, 121075, 121031,121.03866666666667, 21235571, 21170911, 21117610,21174697.333333332, 174941.5944216173
42,true,NYCBuildingsLineStrings,0.005,100,50,400,121027, 121010, 121098,121.045, 20959311, 20894948, 21226339,21026866.0, 173711.14874633402
42,true,NYCBuildingsLineStrings,0.005,100,50,500,121043, 121104, 121074,121.07366666666667, 20699950, 20712312, 20730859,20714373.666666668, 171089.00917072527
