queryOption,approximateQuery,inputTopicName,radius,k,wInterval,wStep,uniformGridSize,executionCost1, executionCost2, executionCost3,avg_time_sec, numberRecords1, numberRecords2, numberRecords3, avg_records, throughput
81,true,NYCBuildingsLineStrings,0.005,100,100,50,200,121069, 121071, 121075,121.07166666666667, 19983052, 19960137, 19574817,19839335.333333332, 163864.3943669727
81,true,NYCBuildingsLineStrings,0.005,125,100,50,200,121071, 121084, 121105,121.08666666666667, 19728854, 19870235, 19641789,19746959.333333332, 163081.20354566976
81,true,NYCBuildingsLineStrings,0.0005,50,100,50,200,121045, 121101, 121016,121.054, 20008073, 19998597, 19865422,19957364.0, 164863.31719728385
81,true,NYCBuildingsLineStrings,0.005,50,100,50,200,121060, 121017, 121018,121.03166666666667, 19923752, 19868920, 20050844,19947838.666666668, 164815.03738690977
81,true,NYCBuildingsLineStrings,0.05,50,100,50,200,121102, 121060, 121108,121.09, 19185612, 19301572, 19222571,19236585.0, 158861.87959369062
81,true,NYCBuildingsLineStrings,0.5,50,100,50,200,121042, 121104, 121107,121.08433333333333, 11179646, 11451427, 10432211,11021094.666666666, 91019.98882321687
81,true,NYCBuildingsLineStrings,0.005,50,50,50,200,121109, 121023, 121002,121.04466666666667, 19045554, 19899349, 20064684,19669862.333333332, 162500.8591869668
81,true,NYCBuildingsLineStrings,0.005,50,100,50,200,121051, 121109, 121105,121.08833333333332, 19990971, 19990539, 19590521,19857343.666666668, 163990.560610023
81,true,NYCBuildingsLineStrings,0.005,50,150,50,200,121021, 121090, 121091,121.06733333333332, 19774382, 19802191, 19773850,19783474.333333332, 163408.85512744973
81,true,NYCBuildingsLineStrings,0.005,50,200,50,200,121110, 121076, 121013,121.06633333333333, 19690485, 19806068, 19712606,19736386.333333332, 163021.26107175404
81,true,NYCBuildingsLineStrings,0.005,50,250,50,200,121063, 121026, 121015,121.03466666666667, 19885523, 19793682, 19818203,19832469.333333332, 163857.75976028905
81,true,NYCBuildingsLineStrings,0.005,50,100,25,200,121015, 121082, 121101,121.066, 19874516, 19921839, 19935928,19910761.0, 164462.03723588787
81,true,NYCBuildingsLineStrings,0.005,50,100,50,200,121103, 121115, 121086,121.10133333333333, 19912869, 19811420, 19786846,19837045.0, 163805.33933014775
81,true,NYCBuildingsLineStrings,0.005,50,100,75,200,121070, 121042, 121010,121.04066666666667, 19836237, 19943428, 19853051,19877572.0, 164222.26138873436
81,true,NYCBuildingsLineStrings,0.005,50,100,100,200,121108, 121098, 120969,121.05833333333332, 19776821, 19939062, 19882081,19865988.0, 164102.6061815929
81,true,NYCBuildingsLineStrings,0.005,50,100,125,200,121010, 121102, 121057,121.05633333333333, 19572032, 19316221, 19800480,19562911.0, 161601.7143533727
81,true,NYCBuildingsLineStrings,0.005,50,100,50,100,121095, 121101, 121005,121.067, 20105324, 19955795, 20005182,20022100.333333332, 165380.32934931346
81,true,NYCBuildingsLineStrings,0.005,50,100,50,200,121111, 121096, 121098,121.10166666666667, 19742124, 19808168, 19691797,19747363.0, 163064.33712720717
81,true,NYCBuildingsLineStrings,0.005,50,100,50,300,121028, 121045, 121017,121.03, 19862445, 19692518, 19748745,19767902.666666668, 163330.6012283456
81,true,NYCBuildingsLineStrings,0.005,50,100,50,400,121106, 121117, 121081,121.10133333333333, 19582864, 19672263, 19085490,19446872.333333332, 160583.47004161804
81,true,NYCBuildingsLineStrings,0.005,50,100,50,500,121070, 121111, 121004,121.06166666666667, 19642491, 19532731, 19369133,19514785.0, 161197.06210333577
86,true,NYCBuildingsLineStrings,0.005,25,100,50,200,121024, 121102, 121046,121.05733333333333, 19743292, 19605034, 19557385,19635237.0, 162197.83188131245
86,true,NYCBuildingsLineStrings,0.005,50,100,50,200,121097, 122079, 121008,121.39466666666667, 19631714, 19465708, 19646246,19581222.666666668, 161302.16593809723
86,true,NYCBuildingsLineStrings,0.005,75,100,50,200,121009, 121104, 121093,121.06866666666667, 19791913, 19752770, 19611171,19718618.0, 162871.35675071448
86,true,NYCBuildingsLineStrings,0.005,100,100,50,200,121017, 121037, 121010,121.02133333333333, 19578621, 19806870, 19742976,19709489.0, 162859.62530022254
86,true,NYCBuildingsLineStrings,0.005,125,100,50,200,121084, 121003, 121019,121.03533333333333, 19843844, 19633217, 19144010,19540357.0, 161443.41046416198
