2101,PortugalTaxiTrajs,NormalizedMBRSlidingFullWindow,5000,5,30,5e-05,300,true,"Source: Custom Source -> Map -> Timestamps/Watermarks","SlidingEventTimeWindows","Source: Custom Source -> Map -> Timestamps/Watermarks","SlidingEventTimeWindows","Source: Custom Source -> Map -> Timestamps/Watermarks","SlidingEventTimeWindows", 181046,181043,181003,181000,181019,181015, 0,144758,0,151081,0,146295, 279036,17919,282769,21356,279478,19099
2101,PortugalTaxiTrajs,NormalizedMBRSlidingFullWindow,5000,5,30,5e-05,400,true,"Source: Custom Source -> Map -> Timestamps/Watermarks","SlidingEventTimeWindows","Source: Custom Source -> Map -> Timestamps/Watermarks","SlidingEventTimeWindows","Source: Custom Source -> Map -> Timestamps/Watermarks","SlidingEventTimeWindows", 181005,181002,181083,181080,181034,181029, 0,138473,0,139506,0,133541, 270064,15059,273059,18066,265190,16466
2101,PortugalTaxiTrajs,NormalizedMBRSlidingFullWindow,5000,5,30,5e-05,500,true,"Source: Custom Source -> Map -> Timestamps/Watermarks","SlidingEventTimeWindows","Source: Custom Source -> Map -> Timestamps/Watermarks","SlidingEventTimeWindows","Source: Custom Source -> Map -> Timestamps/Watermarks","SlidingEventTimeWindows", 181000,180997,181096,181091,180999,180995, 0,127953,0,127920,0,124816, 261265,17171,261654,15610,256724,17468
2101,PortugalTaxiTrajs,IncrementalMBR,5000,5,30,5e-05,100,true,"Source: Custom Source -> Map -> Timestamps/Watermarks","TumblingEventTimeWindows","Source: Custom Source -> Map -> Timestamps/Watermarks","TumblingEventTimeWindows","Source: Custom Source -> Map -> Timestamps/Watermarks","TumblingEventTimeWindows", 181085,181079,181002,180999,181069,181066, 0,4052126,0,2975110,0,3803286, 4153811,20984,3040321,16236,3878234,20326
2101,PortugalTaxiTrajs,IncrementalMBR,5000,5,30,5e-05,200,true,"Source: Custom Source -> Map -> Timestamps/Watermarks","TumblingEventTimeWindows","Source: Custom Source -> Map -> Timestamps/Watermarks","TumblingEventTimeWindows","Source: Custom Source -> Map -> Timestamps/Watermarks","TumblingEventTimeWindows", 181028,181023,181011,181006,181045,181042, 0,3168151,0,3192637,0,3222626, 3253432,35473,3269975,35502,3316044,36161
2101,PortugalTaxiTrajs,IncrementalMBR,5000,5,30,5e-05,300,true,"Source: Custom Source -> Map -> Timestamps/Watermarks","TumblingEventTimeWindows","Source: Custom Source -> Map -> Timestamps/Watermarks","TumblingEventTimeWindows","Source: Custom Source -> Map -> Timestamps/Watermarks","TumblingEventTimeWindows", 181096,181093,181019,181015,181053,181049, 0,3104210,0,2154269,0,2861739, 3186757,49286,2241233,36734,2950435,46311
2101,PortugalTaxiTrajs,IncrementalMBR,5000,5,30,5e-05,400,true,"Source: Custom Source -> Map -> Timestamps/Watermarks","TumblingEventTimeWindows","Source: Custom Source -> Map -> Timestamps/Watermarks","TumblingEventTimeWindows","Source: Custom Source -> Map -> Timestamps/Watermarks","TumblingEventTimeWindows", 181014,181011,181093,181089,181074,181071, 0,2668126,0,2049868,0,2065738, 2700472,56966,2141259,47752,2147963,44564
2101,PortugalTaxiTrajs,IncrementalMBR,5000,5,30,5e-05,500,true,"Source: Custom Source -> Map -> Timestamps/Watermarks","TumblingEventTimeWindows","Source: Custom Source -> Map -> Timestamps/Watermarks","TumblingEventTimeWindows","Source: Custom Source -> Map -> Timestamps/Watermarks","TumblingEventTimeWindows", 181093,181088,181019,181016,181084,181081, 0,1835080,0,1855245,0,2283184, 1906657,51798,1935138,54406,2306877,64742
2101,PortugalTaxiTrajs,IncrementalNormalizedMBR,5000,5,30,5e-05,100,true,"Source: Custom Source -> Map -> Timestamps/Watermarks","TumblingEventTimeWindows","Source: Custom Source -> Map -> Timestamps/Watermarks","TumblingEventTimeWindows","Source: Custom Source -> Map -> Timestamps/Watermarks","TumblingEventTimeWindows", 181042,181039,181099,181096,181081,181079, 0,3224400,0,2434748,0,3440064, 3321202,16922,2530126,12785,3502248,17778
2101,PortugalTaxiTrajs,IncrementalNormalizedMBR,5000,5,30,5e-05,200,true,"Source: Custom Source -> Map -> Timestamps/Watermarks","TumblingEventTimeWindows","Source: Custom Source -> Map -> Timestamps/Watermarks","TumblingEventTimeWindows","Source: Custom Source -> Map -> Timestamps/Watermarks","TumblingEventTimeWindows", 181078,181075,181055,181051,181055,181052, 0,2637624,0,2482708,0,2434471, 2715290,29133,2573768,27247,2498022,26732
